Gene	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
Gene_1	410.270701795466	387.558156349266	419.874058843563	352.086362470984	371.847689212793	395.381704891765	453.768098293784	367.117673736484	424.966023314387	421.197380549779
Gene_2	355.322797297074	366.826184504077	379.457719056728	374.210663560209	366.926550525035	403.935536015889	447.619253565809	336.661147280194	412.799333038623	379.79284488484
Gene_3	407.974243488934	397.611338860243	479.134660504795	453.877566088337	409.50306408075	453.784800393759	521.400795583483	495.086938980328	491.197456122124	462.113913710197
Gene_4	676.41619518751	680.222275585622	718.428687918183	590.739766145482	659.683976287709	637.373275932984	725.861736055312	714.83272129479	699.378957609309	690.046391265393
Gene_5	627.837719478591	650.416448443779	841.325997417783	554.520589775195	601.908926981824	679.026631456756	687.43978353146	882.403098401944	867.861464559765	879.590260694023
Gene_6	602.631615149816	511.502324722	769.275020340076	754.393956082396	614.997779775871	630.192926586161	767.603351540551	976.612506170608	656.470116065447	615.041271038582
Gene_7	393.586985294184	406.660387878236	393.547054169193	329.209861936782	380.904339911855	409.726562587259	408.185317737627	344.550998254466	418.236624676053	369.891459679681
Gene_8	497.540119113209	460.668114605624	672.261736721464	650.469819268194	530.233461409299	589.453795873958	694.248893627601	833.73643996499	655.394293243932	600.729019657943
Gene_9	1318.9266831071	1505.23611240117	1479.99059085774	1472.4562141556	1608.3945278778	1964.99994227513	2151.34221427902	1431.89617283048	2067.60524689762	1645.08237047288
Gene_10	996.938332620505	1059.90892043458	1012.75863000548	747.326429660795	918.76750207166	1012.93875932007	1039.22090804621	744.716763253607	1038.35994990112	871.480609422178
Gene_11	372.649939482301	376.365228758603	426.293582800457	436.768073267931	388.837106843375	399.596539508407	444.605913615137	484.105074034356	427.67596190862	400.718386875981
Gene_12	459.649715394946	550.576469649619	545.863051182091	633.549084911085	525.19626237631	470.084057890693	479.922751730423	669.903841749798	549.147944610615	576.573086399192
Gene_13	303.895153716017	274.664227883258	297.431784428102	268.181603041518	270.453794505258	281.604361010902	307.647038953099	273.145824664275	287.474828438818	302.77451942934
Gene_14	690.540558751682	647.62356930576	670.641422522087	549.395279420766	629.895266031131	542.129688917511	618.063110057856	657.529404162322	536.961158167476	546.739972632374
Gene_15	313.010802788914	333.200327980034	356.292018597283	278.324066310347	309.420414574886	338.150691509068	351.961270988459	335.899077476919	379.5301462893	354.281684204714
Gene_16	338.582050829132	348.76103373886	391.103142410408	310.945892325318	333.926143459093	365.370858893823	386.54859407952	376.630330884997	419.460990974384	402.773773776402
Gene_17	283.564743528455	292.554491660332	329.450676199889	261.011836193583	278.009512778071	278.038620731239	297.238954154333	339.246906242709	330.074916665634	342.671605104497
Gene_18	275.9436312064	279.341950442323	322.335934753885	252.087534929713	269.317932501045	291.900243285294	310.121778727313	317.708244235118	326.16969740552	308.298191803202
Gene_19	377.189291203326	399.836918861809	446.468502532246	420.385112027888	411.445694805322	453.050341824028	496.458262283769	447.832524620792	474.886187693074	428.337739968636
Gene_20	567.326787261119	560.349072631611	658.826955760154	754.19078683894	609.183275461125	570.860002899981	671.254598006352	835.160048100974	597.104994365786	570.862485145132
Gene_21	494.071255797572	513.015014320052	644.623488503374	698.444223842255	588.398500329966	639.275102607467	709.90592748323	809.285297377861	679.701986587747	592.333542574053
Gene_22	257.501518459375	246.376253689551	305.549445504394	296.851057780379	265.272369423485	276.437293740484	319.915816542427	331.833161417493	291.450610436118	291.269607125259
Gene_23	398.535921810947	398.579288332327	411.205217688365	379.416498042465	403.887603038864	432.438655275121	451.014013968977	392.868028484147	429.062516364043	379.519940283443
Gene_24	295.265726645588	293.77096701605	311.035789919736	304.138492259325	292.529254139162	274.379888739859	292.148222160144	341.982305562268	285.736433629771	292.520834389969
Gene_25	520.743864108489	487.819916249062	441.114514925727	342.75426425238	456.23046303149	479.369009525562	410.735498990937	347.263864128867	426.697637182739	381.807122101761
Gene_26	218.638628145105	238.029785579789	256.118188143618	238.937130320882	238.803493056525	224.31987140208	221.629777909202	283.116129303488	240.412109237156	243.122192652605
Gene_27	775.498271205899	735.701769005184	761.143955317229	630.934600820579	730.010276982161	771.282484033747	843.312406488702	672.829208353373	759.428291369435	688.691967816963
Gene_28	316.477011145157	293.003790623488	357.0703925794	316.177320882759	301.17726407593	284.257272934199	326.652293008222	399.215470474635	307.49105610544	310.83245510819
Gene_29	328.396383842295	320.603713163897	409.759650409801	348.757460789149	329.36287408818	343.041591948531	375.771988309224	468.086488565824	395.052330730318	381.813808053485
Gene_30	386.901874646334	348.24850017781	415.226827820526	438.939917580732	378.260838780988	415.389841149024	494.419602800069	395.883717920056	421.137063000052	443.967575130231
Gene_31	428.516193586323	470.881626262229	431.057486138773	494.387042163314	477.244159015163	456.155677911403	444.765408091388	482.68212091968	450.694637124585	420.753296535001
Gene_32	299.145777435167	302.627210773678	365.515422481362	341.251667534825	311.382213174722	328.055911846464	339.335514920161	411.87814548121	360.697335686146	345.55395478241
Gene_33	433.907024384521	409.427189705537	377.043475287626	343.839607442752	402.289669200328	389.911339668649	296.530875884336	385.329621794441	358.168412152603	355.469104425498
Gene_34	376.484394540857	354.702590519627	419.133337385994	353.308752215545	352.546680661305	383.390463921071	395.824731146348	419.38455498646	408.044327864738	396.013129153537
Gene_35	361.796134301786	361.460430238342	340.452707095381	353.127765900318	354.923984862931	327.995218610664	320.714885572408	363.052274040483	326.354926242968	321.02462956649
Gene_36	343.910685967448	318.604520616373	341.033739347926	335.219215264666	322.938403324811	344.099351931512	363.102934741565	317.891261263513	328.050163168431	309.386764882846
Gene_37	488.796451550436	671.00866443654	637.678626227347	808.050048194196	695.799717556046	609.49036964802	590.720315048221	813.296729964338	645.837951897913	637.304102750089
Gene_38	364.833011631719	461.167755011645	476.541548696605	402.154076784405	440.859337668582	448.910866059272	409.557271037787	495.768163168657	515.223503019741	500.726925541844
Gene_39	654.291718121325	780.760770163594	708.634843176987	759.746732969981	788.701435963281	885.480841647401	933.195291440142	698.433814936198	933.582134871394	785.151567165576
Gene_40	311.943143740587	286.918935308182	285.089729984403	278.091178479879	299.001838871266	302.049725378322	308.368730033913	257.617017940255	270.634740538224	266.093487775909
Gene_41	380.408553142714	397.169803990636	462.060936434507	367.290407328998	380.926164780514	424.415941704664	436.405188960703	457.705772501676	493.022306937682	497.635601683852
